s,zeta(s)
(0.5+29351.849609375j),0j
(0.5+29352.599609375j),0j
(0.5+29352.982421875j),0j
(0.5+29353.97265625j),0j
(0.5+29354.583984375j),0j
(0.5+29355.564453125j),0j
(0.5+29355.62890625j),0j
(0.5+29356.603515625j),0j
(0.5+29357.423828125j),0j
(0.5+29358.498046875j),0j
(0.5+29358.845703125j),0j
(0.5+29359.599609375j),0j
(0.5+29360.041015625j),0j
(0.5+29361.333984375j),0j
(0.5+29362.056640625j),0j
(0.5+29362.98828125j),0j
(0.5+29363.681640625j),0j
(0.5+29364.35546875j),0j
(0.5+29364.833984375j),0j
(0.5+29365.73828125j),0j
(0.5+29366.072265625j),0j
(0.5+29367.185546875j),0j
(0.5+29367.568359375j),0j
(0.5+29368.400390625j),0j
(0.5+29369.53125j),0j
(0.5+29370.255859375j),0j
(0.5+29371.27734375j),0j
(0.5+29371.7421875j),0j
(0.5+29372.369140625j),0j
(0.5+29372.626953125j),0j
(0.5+29374.337890625j),0j
(0.5+29374.728515625j),0j
(0.5+29375.15625j),0j
(0.5+29376.0234375j),0j
(0.5+29376.6015625j),0j
(0.5+29377.341796875j),0j
(0.5+29378.18359375j),0j
(0.5+29378.939453125j),0j
(0.5+29380.16796875j),0j
(0.5+29380.60546875j),0j
(0.5+29381.791015625j),0j
(0.5+29382.046875j),0j
(0.5+29382.73828125j),0j
(0.5+29383.427734375j),0j
(0.5+29384.01953125j),0j
(0.5+29384.84765625j),0j
(0.5+29385.576171875j),0j
(0.5+29386.552734375j),0j
(0.5+29387.40234375j),0j
(0.5+29387.771484375j),0j
(0.5+29388.703125j),0j
(0.5+29389.775390625j),0j
(0.5+29390.16796875j),0j
(0.5+29391.134765625j),0j
(0.5+29391.845703125j),0j
(0.5+29392.234375j),0j
(0.5+29393.48046875j),0j
(0.5+29393.87109375j),0j
(0.5+29394.419921875j),0j
(0.5+29395.23828125j),0j
(0.5+29395.55078125j),0j
(0.5+29397.048828125j),0j
(0.5+29398.3203125j),0j
(0.5+29398.41796875j),0j
(0.5+29399.130859375j),0j
(0.5+29400.03515625j),0j
(0.5+29400.537109375j),0j
(0.5+29401.33203125j),0j
(0.5+29401.8984375j),0j
(0.5+29402.8828125j),0j
(0.5+29403.73828125j),0j
(0.5+29404.05859375j),0j
(0.5+29404.8046875j),0j
(0.5+29406.087890625j),0j
(0.5+29406.45703125j),0j
(0.5+29407.296875j),0j
(0.5+29408.099609375j),0j
(0.5+29409.1171875j),0j
(0.5+29409.84375j),0j
(0.5+29410.365234375j),0j
(0.5+29410.939453125j),0j
(0.5+29411.609375j),0j
(0.5+29412.041015625j),0j
(0.5+29413.23828125j),0j
(0.5+29413.970703125j),0j
(0.5+29414.498046875j),0j
(0.5+29415.7578125j),0j
(0.5+29416.62890625j),0j
(0.5+29417.068359375j),0j
(0.5+29417.609375j),0j
(0.5+29418.685546875j),0j
(0.5+29418.87890625j),0j
(0.5+29419.96484375j),0j
(0.5+29420.83984375j),0j
(0.5+29421.578125j),0j
(0.5+29421.8359375j),0j
(0.5+29422.90234375j),0j
(0.5+29423.255859375j),0j
(0.5+29424.259765625j),0j
(0.5+29425.546875j),0j
(0.5+29426.21484375j),0j
(0.5+29426.833984375j),0j
(0.5+29427.357421875j),0j
(0.5+29428.087890625j),0j
(0.5+29428.982421875j),0j
(0.5+29429.599609375j),0j
(0.5+29430.099609375j),0j
(0.5+29430.603515625j),0j
(0.5+29431.970703125j),0j
(0.5+29432.537109375j),0j
(0.5+29433.662109375j),0j
(0.5+29434.0625j),0j
(0.5+29434.724609375j),0j
(0.5+29435.740234375j),0j
(0.5+29436.244140625j),0j
(0.5+29437.25390625j),0j
(0.5+29437.892578125j),0j
(0.5+29438.61328125j),0j
(0.5+29439.009765625j),0j
(0.5+29439.970703125j),0j
(0.5+29440.689453125j),0j
(0.5+29440.939453125j),0j
(0.5+29442.39453125j),0j
(0.5+29443.115234375j),0j
(0.5+29443.958984375j),0j
(0.5+29444.85546875j),0j
(0.5+29445.544921875j),0j
(0.5+29445.859375j),0j
(0.5+29446.33203125j),0j
(0.5+29447.294921875j),0j
(0.5+29448.1953125j),0j
(0.5+29449.08984375j),0j
(0.5+29449.52734375j),0j
(0.5+29450.2734375j),0j
(0.5+29450.953125j),0j
(0.5+29452.224609375j),0j
(0.5+29452.734375j),0j
(0.5+29453.443359375j),0j
(0.5+29454.076171875j),0j
(0.5+29455.3203125j),0j
(0.5+29455.68359375j),0j
(0.5+29456.42578125j),0j
(0.5+29456.861328125j),0j
(0.5+29457.8203125j),0j
(0.5+29458.3125j),0j
(0.5+29458.837890625j),0j
(0.5+29460.27734375j),0j
(0.5+29461.236328125j),0j
(0.5+29461.7109375j),0j
(0.5+29462.46875j),0j
(0.5+29462.96875j),0j
(0.5+29463.90625j),0j
(0.5+29464.4765625j),0j
(0.5+29465.34375j),0j
(0.5+29466j),0j
(0.5+29466.5234375j),0j
(0.5+29467.6796875j),0j
(0.5+29468.19140625j),0j
(0.5+29468.75390625j),0j
(0.5+29469.630859375j),0j
(0.5+29470.416015625j),0j
(0.5+29471.9296875j),0j
(0.5+29472.09375j),0j
(0.5+29472.720703125j),0j
(0.5+29473.58203125j),0j
(0.5+29474.166015625j),0j
(0.5+29474.79296875j),0j
(0.5+29475.482421875j),0j
(0.5+29476.21875j),0j
(0.5+29477.142578125j),0j
(0.5+29477.78125j),0j
(0.5+29478.88671875j),0j
(0.5+29479.578125j),0j
(0.5+29480.4453125j),0j
(0.5+29480.873046875j),0j
(0.5+29481.53515625j),0j
(0.5+29482.337890625j),0j
(0.5+29483.185546875j),0j
(0.5+29484.19921875j),0j
(0.5+29484.68359375j),0j
(0.5+29485.169921875j),0j
(0.5+29485.505859375j),0j
(0.5+29486.697265625j),0j
(0.5+29487.689453125j),0j
(0.5+29488.36328125j),0j
(0.5+29489.552734375j),0j
(0.5+29489.8828125j),0j
(0.5+29490.6328125j),0j
(0.5+29491.560546875j),0j
(0.5+29492.166015625j),0j
(0.5+29492.287109375j),0j
(0.5+29493.314453125j),0j
(0.5+29494.283203125j),0j
(0.5+29494.9609375j),0j
(0.5+29495.76171875j),0j
(0.5+29496.443359375j),0j
(0.5+29497.49609375j),0j
(0.5+29497.927734375j),0j
(0.5+29498.630859375j),0j
(0.5+29499.90625j),0j
(0.5+29500.322265625j),0j
(0.5+29501.0703125j),0j
(0.5+29501.517578125j),0j
(0.5+29502.498046875j),0j
(0.5+29503.091796875j),0j
(0.5+29503.76171875j),0j
(0.5+29504.373046875j),0j
(0.5+29505.060546875j),0j
(0.5+29506.767578125j),0j
(0.5+29507.15234375j),0j
(0.5+29507.859375j),0j
(0.5+29508.48046875j),0j
(0.5+29508.94921875j),0j
(0.5+29509.80859375j),0j
(0.5+29510.673828125j),0j
(0.5+29511.28515625j),0j
(0.5+29512.259765625j),0j
(0.5+29512.53515625j),0j
(0.5+29513.802734375j),0j
(0.5+29513.919921875j),0j
(0.5+29515.095703125j),0j
(0.5+29516.099609375j),0j
(0.5+29516.5625j),0j
(0.5+29517.412109375j),0j
(0.5+29518.3359375j),0j
(0.5+29519.08203125j),0j
(0.5+29519.478515625j),0j
(0.5+29520.203125j),0j
(0.5+29520.740234375j),0j
(0.5+29521.38671875j),0j
(0.5+29522.34375j),0j
(0.5+29523.55859375j),0j
(0.5+29524.0546875j),0j
(0.5+29524.7109375j),0j
(0.5+29525.796875j),0j
(0.5+29526.41796875j),0j
(0.5+29527.0546875j),0j
(0.5+29527.416015625j),0j
(0.5+29528.4765625j),0j
(0.5+29529.419921875j),0j
(0.5+29529.861328125j),0j
(0.5+29530.658203125j),0j
(0.5+29531.263671875j),0j
(0.5+29532.005859375j),0j
(0.5+29532.513671875j),0j
(0.5+29534.087890625j),0j
(0.5+29534.501953125j),0j
(0.5+29535.537109375j),0j
(0.5+29536.12109375j),0j
(0.5+29536.62890625j),0j
(0.5+29537.10546875j),0j
(0.5+29538.1328125j),0j
(0.5+29538.845703125j),0j
(0.5+29539.294921875j),0j
(0.5+29540.33984375j),0j
(0.5+29540.76953125j),0j
(0.5+29542.265625j),0j
(0.5+29542.669921875j),0j
(0.5+29543.49609375j),0j
(0.5+29543.796875j),0j
(0.5+29544.884765625j),0j
(0.5+29545.716796875j),0j
(0.5+29546.623046875j),0j
(0.5+29546.984375j),0j
(0.5+29547.66015625j),0j
(0.5+29548.384765625j),0j
(0.5+29549.033203125j),0j
(0.5+29549.81640625j),0j
(0.5+29550.490234375j),0j
(0.5+29551.84375j),0j
(0.5+29552.4296875j),0j
(0.5+29553.265625j),0j
(0.5+29553.91015625j),0j
(0.5+29554.38671875j),0j
(0.5+29555.373046875j),0j
(0.5+29555.900390625j),0j
(0.5+29556.083984375j),0j
(0.5+29557.69140625j),0j
(0.5+29558.341796875j),0j
(0.5+29558.701171875j),0j
(0.5+29559.416015625j),0j
(0.5+29560.4453125j),0j
(0.5+29561.228515625j),0j
(0.5+29562.103515625j),0j
(0.5+29562.91015625j),0j
(0.5+29563.333984375j),0j
(0.5+29564.216796875j),0j
(0.5+29565.013671875j),0j
(0.5+29565.712890625j),0j
(0.5+29566.212890625j),0j
(0.5+29566.58984375j),0j
(0.5+29567.57421875j),0j
(0.5+29568.548828125j),0j
(0.5+29569.51953125j),0j
(0.5+29570.505859375j),0j
(0.5+29571.046875j),0j
(0.5+29571.412109375j),0j
(0.5+29572.3828125j),0j
(0.5+29572.84765625j),0j
(0.5+29573.935546875j),0j
(0.5+29574.560546875j),0j
(0.5+29575.19921875j),0j
(0.5+29576.04296875j),0j
(0.5+29576.376953125j),0j
(0.5+29577.515625j),0j
(0.5+29578.2734375j),0j
(0.5+29578.798828125j),0j
(0.5+29579.83203125j),0j
(0.5+29581.009765625j),0j
(0.5+29581.416015625j),0j
(0.5+29582.126953125j),0j
(0.5+29582.51953125j),0j
(0.5+29583.2890625j),0j
(0.5+29583.94140625j),0j
(0.5+29584.951171875j),0j
(0.5+29585.37890625j),0j
(0.5+29586.3671875j),0j
(0.5+29587.31640625j),0j
(0.5+29587.97265625j),0j
(0.5+29588.869140625j),0j
(0.5+29589.568359375j),0j
(0.5+29590.0234375j),0j
(0.5+29590.841796875j),0j
(0.5+29591.671875j),0j
(0.5+29592.658203125j),0j
(0.5+29592.859375j),0j
(0.5+29594.125j),0j
(0.5+29594.357421875j),0j
(0.5+29594.76171875j),0j
(0.5+29595.76953125j),0j
(0.5+29597.27734375j),0j
(0.5+29597.93359375j),0j
(0.5+29598.375j),0j
(0.5+29598.984375j),0j
(0.5+29600.185546875j),0j
(0.5+29600.517578125j),0j
(0.5+29600.958984375j),0j
(0.5+29602.0078125j),0j
(0.5+29602.494140625j),0j
(0.5+29603.34765625j),0j
(0.5+29604.5390625j),0j
(0.5+29604.8203125j),0j
(0.5+29605.697265625j),0j
(0.5+29606.572265625j),0j
(0.5+29607.373046875j),0j
(0.5+29607.8515625j),0j
(0.5+29609.029296875j),0j
(0.5+29609.642578125j),0j
(0.5+29610.27734375j),0j
(0.5+29610.77734375j),0j
(0.5+29611.4375j),0j
(0.5+29612.2578125j),0j
(0.5+29613.072265625j),0j
(0.5+29613.5625j),0j
(0.5+29614.724609375j),0j
(0.5+29615.74609375j),0j
(0.5+29616.54296875j),0j
(0.5+29616.96875j),0j
(0.5+29617.697265625j),0j
(0.5+29618.12890625j),0j
(0.5+29618.822265625j),0j
(0.5+29620.171875j),0j
(0.5+29620.5234375j),0j
(0.5+29621.26953125j),0j
(0.5+29621.927734375j),0j
(0.5+29622.533203125j),0j
(0.5+29623.630859375j),0j
(0.5+29624.390625j),0j
(0.5+29625.013671875j),0j
(0.5+29626.224609375j),0j
(0.5+29626.619140625j),0j
(0.5+29627.328125j),0j
(0.5+29628.103515625j),0j
(0.5+29628.9140625j),0j
(0.5+29629.21875j),0j
(0.5+29629.95703125j),0j
(0.5+29630.55859375j),0j
(0.5+29631.845703125j),0j
(0.5+29632.615234375j),0j
(0.5+29633.498046875j),0j
(0.5+29634.2265625j),0j
(0.5+29634.390625j),0j
(0.5+29635.654296875j),0j
(0.5+29636.328125j),0j
(0.5+29636.927734375j),0j
(0.5+29637.447265625j),0j
(0.5+29638.611328125j),0j
(0.5+29639.1015625j),0j
(0.5+29639.89453125j),0j
(0.5+29640.302734375j),0j
(0.5+29641.103515625j),0j
(0.5+29642.13671875j),0j
(0.5+29643.18359375j),0j
(0.5+29644.02734375j),0j
(0.5+29644.548828125j),0j
(0.5+29645.1484375j),0j
(0.5+29645.748046875j),0j
(0.5+29646.572265625j),0j
(0.5+29647.103515625j),0j
(0.5+29647.818359375j),0j
(0.5+29649.033203125j),0j
(0.5+29649.384765625j),0j
(0.5+29650.00390625j),0j
(0.5+29651.421875j),0j
(0.5+29651.93359375j),0j
(0.5+29652.79296875j),0j
(0.5+29652.9140625j),0j
(0.5+29654.064453125j),0j
(0.5+29654.970703125j),0j
(0.5+29655.8828125j),0j
(0.5+29656.2265625j),0j
(0.5+29656.6171875j),0j
(0.5+29657.515625j),0j
(0.5+29658.26953125j),0j
(0.5+29658.8984375j),0j
(0.5+29660.28125j),0j
(0.5+29660.779296875j),0j
(0.5+29661.7421875j),0j
(0.5+29662.455078125j),0j
(0.5+29662.931640625j),0j
(0.5+29663.6328125j),0j
(0.5+29664.35546875j),0j
(0.5+29664.9375j),0j
(0.5+29665.88671875j),0j
(0.5+29666.515625j),0j
(0.5+29667.494140625j),0j
(0.5+29668.009765625j),0j
(0.5+29669.03125j),0j
(0.5+29669.166015625j),0j
(0.5+29670.697265625j),0j
(0.5+29671.279296875j),0j
(0.5+29672.017578125j),0j
(0.5+29672.78125j),0j
(0.5+29673.26171875j),0j
(0.5+29673.953125j),0j
(0.5+29674.84765625j),0j
(0.5+29675.486328125j),0j
(0.5+29675.927734375j),0j
(0.5+29676.5625j),0j
(0.5+29678.1328125j),0j
(0.5+29679.0078125j),0j
(0.5+29679.169921875j),0j
(0.5+29680.208984375j),0j
(0.5+29680.958984375j),0j
(0.5+29681.134765625j),0j
(0.5+29682.283203125j),0j
(0.5+29682.97265625j),0j
(0.5+29684.0703125j),0j
(0.5+29684.2421875j),0j
(0.5+29684.919921875j),0j
(0.5+29685.888671875j),0j
(0.5+29686.41015625j),0j
(0.5+29687.630859375j),0j
(0.5+29688.24609375j),0j
(0.5+29689.064453125j),0j
(0.5+29689.884765625j),0j
(0.5+29690.76171875j),0j
(0.5+29691.302734375j),0j
(0.5+29691.689453125j),0j
(0.5+29692.328125j),0j
(0.5+29693.03125j),0j
(0.5+29694.1875j),0j
(0.5+29694.818359375j),0j
(0.5+29695.533203125j),0j
(0.5+29696.435546875j),0j
(0.5+29697.287109375j),0j
(0.5+29698.009765625j),0j
(0.5+29698.615234375j),0j
(0.5+29699.169921875j),0j
(0.5+29700.40234375j),0j
(0.5+29700.64453125j),0j
(0.5+29701.6015625j),0j
(0.5+29702.390625j),0j
(0.5+29702.90234375j),0j
(0.5+29703.36328125j),0j
(0.5+29704.34765625j),0j
(0.5+29705.00390625j),0j
(0.5+29706.568359375j),0j
(0.5+29707.162109375j),0j
(0.5+29707.576171875j),0j
(0.5+29708.173828125j),0j
(0.5+29708.8125j),0j
(0.5+29710.03515625j),0j
(0.5+29710.154296875j),0j
(0.5+29711.07421875j),0j
(0.5+29711.744140625j),0j
(0.5+29712.6640625j),0j
(0.5+29713.390625j),0j
(0.5+29714.244140625j),0j
(0.5+29715.080078125j),0j
(0.5+29715.5625j),0j
(0.5+29716.31640625j),0j
(0.5+29717.58203125j),0j
(0.5+29718.134765625j),0j
(0.5+29718.431640625j),0j
(0.5+29719.583984375j),0j
(0.5+29719.955078125j),0j
(0.5+29720.6328125j),0j
(0.5+29721.1328125j),0j
(0.5+29722.32421875j),0j
(0.5+29723.033203125j),0j
(0.5+29724.1015625j),0j
(0.5+29724.740234375j),0j
(0.5+29725.513671875j),0j
(0.5+29726.390625j),0j
(0.5+29726.65625j),0j
(0.5+29727.306640625j),0j
(0.5+29728.064453125j),0j
(0.5+29729.189453125j),0j
(0.5+29729.880859375j),0j
(0.5+29730.478515625j),0j
(0.5+29730.994140625j),0j
(0.5+29731.595703125j),0j
(0.5+29733.00390625j),0j
(0.5+29733.48828125j),0j
(0.5+29734.498046875j),0j
(0.5+29735.052734375j),0j
(0.5+29735.890625j),0j
(0.5+29736.658203125j),0j
(0.5+29737.0546875j),0j
(0.5+29737.818359375j),0j
(0.5+29738.49609375j),0j
(0.5+29739.15234375j),0j
(0.5+29739.86328125j),0j
(0.5+29740.986328125j),0j
(0.5+29742.076171875j),0j
(0.5+29742.5078125j),0j
(0.5+29743.125j),0j
(0.5+29743.892578125j),0j
(0.5+29744.53515625j),0j
(0.5+29745.431640625j),0j
(0.5+29746.41796875j),0j
(0.5+29746.833984375j),0j
(0.5+29747.236328125j),0j
(0.5+29748.23046875j),0j
(0.5+29749.224609375j),0j
(0.5+29749.501953125j),0j
(0.5+29750.16796875j),0j
(0.5+29751.587890625j),0j
(0.5+29752.443359375j),0j
(0.5+29752.931640625j),0j
(0.5+29753.87109375j),0j
(0.5+29754.154296875j),0j
(0.5+29754.876953125j),0j
(0.5+29755.548828125j),0j
(0.5+29756.34375j),0j
(0.5+29757.208984375j),0j
(0.5+29757.833984375j),0j
(0.5+29758.84375j),0j
(0.5+29759.263671875j),0j
(0.5+29760.470703125j),0j
(0.5+29760.94140625j),0j
(0.5+29761.91015625j),0j
(0.5+29762.56640625j),0j
(0.5+29762.880859375j),0j
(0.5+29764.314453125j),0j
(0.5+29764.78515625j),0j
(0.5+29765.3203125j),0j
(0.5+29765.935546875j),0j
(0.5+29766.71484375j),0j
(0.5+29767j),0j
(0.5+29768.580078125j),0j
(0.5+29769.451171875j),0j
(0.5+29769.966796875j),0j
(0.5+29770.810546875j),0j
(0.5+29771.443359375j),0j
(0.5+29772.107421875j),0j
(0.5+29772.8828125j),0j
(0.5+29773.33203125j),0j
(0.5+29774.138671875j),0j
(0.5+29775.12890625j),0j
(0.5+29775.865234375j),0j
(0.5+29776.236328125j),0j
(0.5+29777.287109375j),0j
(0.5+29778.14453125j),0j
(0.5+29778.607421875j),0j
(0.5+29779.54296875j),0j
(0.5+29780.724609375j),0j
(0.5+29781.265625j),0j
(0.5+29781.705078125j),0j
(0.5+29782.404296875j),0j
(0.5+29783.013671875j),0j
(0.5+29783.94140625j),0j
(0.5+29784.484375j),0j
(0.5+29785.1640625j),0j
(0.5+29786.091796875j),0j
(0.5+29787.009765625j),0j
(0.5+29788.322265625j),0j
(0.5+29788.7421875j),0j
(0.5+29788.833984375j),0j
(0.5+29789.75390625j),0j
(0.5+29790.724609375j),0j
(0.5+29791.34375j),0j
(0.5+29792.25390625j),0j
(0.5+29792.8671875j),0j
(0.5+29793.568359375j),0j
(0.5+29794.185546875j),0j
(0.5+29794.6796875j),0j
(0.5+29795.88671875j),0j
(0.5+29796.66015625j),0j
(0.5+29797.66796875j),0j
(0.5+29798.201171875j),0j
(0.5+29798.978515625j),0j
(0.5+29799.587890625j),0j
(0.5+29800.455078125j),0j
(0.5+29801.029296875j),0j
(0.5+29801.38671875j),0j
(0.5+29802.087890625j),0j
(0.5+29803.314453125j),0j
(0.5+29804.13671875j),0j
(0.5+29804.85546875j),0j
(0.5+29805.3671875j),0j
(0.5+29806.46484375j),0j
(0.5+29807.00390625j),0j
(0.5+29807.8984375j),0j
(0.5+29808.333984375j),0j
(0.5+29809.53515625j),0j
(0.5+29809.71484375j),0j
(0.5+29810.892578125j),0j
(0.5+29811.255859375j),0j
(0.5+29811.89453125j),0j
(0.5+29812.7890625j),0j
(0.5+29813.228515625j),0j
(0.5+29814.666015625j),0j
(0.5+29815.51171875j),0j
(0.5+29816.173828125j),0j
(0.5+29816.728515625j),0j
(0.5+29817.5j),0j
(0.5+29817.912109375j),0j
(0.5+29818.509765625j),0j
(0.5+29819.763671875j),0j
(0.5+29820.42578125j),0j
(0.5+29820.775390625j),0j
(0.5+29821.572265625j),0j
(0.5+29822.7421875j),0j
(0.5+29823.28515625j),0j
(0.5+29824.29296875j),0j
(0.5+29824.6796875j),0j
(0.5+29825.470703125j),0j
(0.5+29826.720703125j),0j
(0.5+29827.130859375j),0j
(0.5+29827.849609375j),0j
(0.5+29828.443359375j),0j
(0.5+29828.880859375j),0j
(0.5+29829.798828125j),0j
(0.5+29830.548828125j),0j
(0.5+29831.16796875j),0j
(0.5+29832.658203125j),0j
(0.5+29833.291015625j),0j
(0.5+29833.552734375j),0j
(0.5+29834.650390625j),0j
(0.5+29835.35546875j),0j
(0.5+29835.857421875j),0j
(0.5+29836.41796875j),0j
(0.5+29837.439453125j),0j
(0.5+29838.02734375j),0j
(0.5+29839.15234375j),0j
(0.5+29839.44921875j),0j
(0.5+29840.240234375j),0j
(0.5+29840.73828125j),0j
(0.5+29841.916015625j),0j
(0.5+29843.142578125j),0j
(0.5+29843.376953125j),0j
(0.5+29844.408203125j),0j
(0.5+29844.673828125j),0j
(0.5+29845.6328125j),0j
(0.5+29846.423828125j),0j
(0.5+29846.875j),0j
(0.5+29847.365234375j),0j
(0.5+29848.4140625j),0j
(0.5+29849.150390625j),0j
(0.5+29850.185546875j),0j
(0.5+29851.017578125j),0j
(0.5+29851.6953125j),0j
(0.5+29852.482421875j),0j
(0.5+29852.66015625j),0j
(0.5+29853.708984375j),0j
(0.5+29854.7265625j),0j
(0.5+29855.291015625j),0j
(0.5+29855.98828125j),0j
(0.5+29856.66796875j),0j
(0.5+29857.005859375j),0j
(0.5+29858.01171875j),0j
(0.5+29858.88671875j),0j
(0.5+29859.734375j),0j
(0.5+29860.40234375j),0j
(0.5+29861.671875j),0j
(0.5+29862.216796875j),0j
(0.5+29862.623046875j),0j
(0.5+29863.396484375j),0j
(0.5+29863.798828125j),0j
(0.5+29864.95703125j),0j
(0.5+29865.134765625j),0j
(0.5+29866.66015625j),0j
(0.5+29866.95703125j),0j
(0.5+29867.568359375j),0j
(0.5+29868.80859375j),0j
(0.5+29869.396484375j),0j
(0.5+29870.056640625j),0j
(0.5+29870.916015625j),0j
(0.5+29871.693359375j),0j
(0.5+29872.453125j),0j
(0.5+29872.9296875j),0j
(0.5+29873.8125j),0j
(0.5+29874.642578125j),0j
(0.5+29875.033203125j),0j
(0.5+29875.60546875j),0j
(0.5+29876.240234375j),0j
(0.5+29877.955078125j),0j
(0.5+29878.494140625j),0j
(0.5+29879.208984375j),0j
(0.5+29879.794921875j),0j
(0.5+29880.31640625j),0j
(0.5+29881.267578125j),0j
(0.5+29882.0078125j),0j
(0.5+29882.46484375j),0j
(0.5+29883.298828125j),0j
(0.5+29884.26171875j),0j
(0.5+29884.69921875j),0j
(0.5+29885.642578125j),0j
(0.5+29886.28515625j),0j
(0.5+29887.123046875j),0j
(0.5+29887.916015625j),0j
(0.5+29888.912109375j),0j
(0.5+29889.3828125j),0j
(0.5+29890.515625j),0j
(0.5+29890.955078125j),0j
(0.5+29891.458984375j),0j
(0.5+29891.86328125j),0j
(0.5+29893.08984375j),0j
(0.5+29893.4296875j),0j
(0.5+29894.59765625j),0j
(0.5+29895.181640625j),0j
(0.5+29896.2734375j),0j
(0.5+29896.99609375j),0j
(0.5+29897.830078125j),0j
(0.5+29898.23828125j),0j
(0.5+29899j),0j
(0.5+29899.33203125j),0j
(0.5+29900.8046875j),0j
(0.5+29901.439453125j),0j
(0.5+29901.82421875j),0j
(0.5+29902.412109375j),0j
(0.5+29903.33984375j),0j
(0.5+29903.9296875j),0j
(0.5+29904.869140625j),0j
(0.5+29906.09375j),0j
(0.5+29906.6484375j),0j
(0.5+29907.3046875j),0j
(0.5+29907.958984375j),0j
(0.5+29908.837890625j),0j
(0.5+29909.236328125j),0j
(0.5+29909.9609375j),0j
(0.5+29910.81640625j),0j
(0.5+29911.22265625j),0j
(0.5+29912.24609375j),0j
(0.5+29913.314453125j),0j
(0.5+29914.08203125j),0j
(0.5+29914.58984375j),0j
(0.5+29915.20703125j),0j
(0.5+29916.123046875j),0j
(0.5+29917.03125j),0j
(0.5+29917.705078125j),0j
(0.5+29918.30078125j),0j
(0.5+29918.955078125j),0j
(0.5+29919.73828125j),0j
(0.5+29920.439453125j),0j
(0.5+29921.10546875j),0j
(0.5+29921.548828125j),0j
(0.5+29922.71875j),0j
(0.5+29923.79296875j),0j
(0.5+29924.693359375j),0j
(0.5+29925.072265625j),0j
(0.5+29925.771484375j),0j
(0.5+29926.5546875j),0j
(0.5+29926.978515625j),0j
(0.5+29927.673828125j),0j
(0.5+29928.693359375j),0j
(0.5+29929.47265625j),0j
(0.5+29930.212890625j),0j
(0.5+29930.673828125j),0j
(0.5+29931.3515625j),0j
(0.5+29932.939453125j),0j
(0.5+29933.20703125j),0j
(0.5+29933.595703125j),0j
(0.5+29934.880859375j),0j
(0.5+29935.458984375j),0j
(0.5+29936.37890625j),0j
(0.5+29936.78515625j),0j
(0.5+29937.62890625j),0j
(0.5+29938.02734375j),0j
(0.5+29938.4921875j),0j
(0.5+29939.796875j),0j
(0.5+29940.59375j),0j
(0.5+29941.537109375j),0j
(0.5+29942.279296875j),0j
(0.5+29942.90625j),0j
(0.5+29943.703125j),0j
(0.5+29944.021484375j),0j
(0.5+29945.0703125j),0j
(0.5+29945.73828125j),0j
(0.5+29946.4375j),0j
(0.5+29947.091796875j),0j
(0.5+29948.017578125j),0j
(0.5+29948.728515625j),0j
(0.5+29949.099609375j),0j
(0.5+29950.169921875j),0j
(0.5+29950.861328125j),0j
(0.5+29952.052734375j),0j
(0.5+29953.0078125j),0j
(0.5+29953.26953125j),0j
(0.5+29953.56640625j),0j
(0.5+29954.73828125j),0j
(0.5+29955.208984375j),0j
(0.5+29956.0390625j),0j
(0.5+29956.720703125j),0j
(0.5+29957.259765625j),0j
(0.5+29958.380859375j),0j
(0.5+29959.384765625j),0j
(0.5+29960.037109375j),0j
(0.5+29960.638671875j),0j
(0.5+29961.412109375j),0j
(0.5+29961.966796875j),0j
(0.5+29962.755859375j),0j
(0.5+29963.75j),0j
(0.5+29964.435546875j),0j
(0.5+29965.0390625j),0j
(0.5+29965.5390625j),0j
(0.5+29966.2578125j),0j
(0.5+29966.923828125j),0j
(0.5+29967.958984375j),0j
(0.5+29969.150390625j),0j
(0.5+29969.71484375j),0j
(0.5+29970.134765625j),0j
(0.5+29971.373046875j),0j
(0.5+29971.859375j),0j
(0.5+29972.33984375j),0j
(0.5+29973.0546875j),0j
(0.5+29973.4140625j),0j
(0.5+29974.890625j),0j
(0.5+29975.359375j),0j
(0.5+29976.013671875j),0j
(0.5+29977.00390625j),0j
(0.5+29977.56640625j),0j
(0.5+29978.470703125j),0j
(0.5+29979.306640625j),0j
(0.5+29979.935546875j),0j
(0.5+29980.7109375j),0j
(0.5+29981.47265625j),0j
(0.5+29982.3984375j),0j
(0.5+29982.47265625j),0j
(0.5+29983.41015625j),0j
(0.5+29984.310546875j),0j
(0.5+29984.71484375j),0j
(0.5+29985.408203125j),0j
(0.5+29987.078125j),0j
(0.5+29987.51171875j),0j
(0.5+29988.494140625j),0j
(0.5+29988.658203125j),0j
(0.5+29989.298828125j),0j
(0.5+29990.205078125j),0j
(0.5+29991.025390625j),0j
(0.5+29991.73828125j),0j
(0.5+29992.490234375j),0j
(0.5+29993.0625j),0j
(0.5+29993.708984375j),0j
(0.5+29994.79296875j),0j
(0.5+29995.490234375j),0j
(0.5+29996.009765625j),0j
(0.5+29997.166015625j),0j
(0.5+29997.80859375j),0j
(0.5+29998.728515625j),0j
(0.5+29999.37890625j),0j
(0.5+29999.7109375j),0j
(0.5+30000.638671875j),0j
(0.5+30001.248046875j),0j
(0.5+30001.638671875j),0j
(0.5+30002.638671875j),0j
(0.5+30003.986328125j),0j
(0.5+30004.197265625j),0j
(0.5+30005.2578125j),0j
